Location,Name,Weights
0,交通运输、仓储业,0.9297593412561194
0,教育,0.07011463003493144
0,电力、煤气及水的生产和供应业,0.00013266923879090713
0,社会服务业,3.90451584662692e-05
0,金属、非金属,1.4979185269867066e-05
1,交通运输、仓储业,0.9297639918088465
1,教育,0.07011000262494714
1,电力、煤气及水的生产和供应业,0.00013265803589163628
1,社会服务业,3.904168034148423e-05
1,金属、非金属,1.4978346712636965e-05
2,交通运输、仓储业,0.929753807190514
2,教育,0.0701201786781639
2,电力、煤气及水的生产和供应业,0.00013265093740401815
2,社会服务业,3.904277240914686e-05
2,金属、非金属,1.497783765795661e-05
3,交通运输、仓储业,0.9297415980543562
3,教育,0.07013235544851171
3,电力、煤气及水的生产和供应业,0.0001326874692983742
3,社会服务业,3.903499945585393e-05
3,金属、非金属,1.498524879269852e-05
4,交通运输、仓储业,0.9297482024779147
4,教育,0.07012579377913851
4,电力、煤气及水的生产和供应业,0.00013265156810379528
4,社会服务业,3.9034183434710136e-05
4,金属、非金属,1.4972985627258517e-05
